Name,Club,Position,Age,Current_Value,Last_Update_Date,Max_Value
Leon Bailey,Aston Villa,Right Winger,26,42.00,"May 27, 2024",€45.00m
Jarrad Branthwaite,Everton FC,Centre-Back,22,42.00,"May 27, 2024",€42.00m
Bryan Mbeumo,Brentford FC,Right Winger,24,40.00,"May 27, 2024",€40.00m
Dominic Solanke,AFC Bournemouth,Centre-Forward,26,40.00,"May 27, 2024",€40.00m
Axel Disasi,Chelsea FC,Centre-Back,26,40.00,"May 27, 2024",€42.00m
Axel Disasi,Chelsea FC,Centre-Back,26,40.00,"May 27, 2024",€42.00m
Joelinton,Newcastle United,Central Midfield,27,40.00,"May 27, 2024",€42.00m
Morgan Gibbs-White,Nottingham Forest,Attacking Midfield,24,40.00,"May 27, 2024",€40.00m
Nathan Aké,Manchester City,Centre-Back,29,40.00,"May 27, 2024",€42.00m
Ian Maatsen,Aston Villa,Left-Back,22,40.00,"May 29, 2024",€40.00m
Jurrien Timber,Arsenal FC,Centre-Back,23,38.00,"May 27, 2024",€45.00m
Sandro Tonali,Newcastle United,Defensive Midfield,24,38.00,"May 27, 2024",€60.00m
Oleksandr Zinchenko,Arsenal FC,Left-Back,27,38.00,"May 27, 2024",€42.00m
Richarlison,Tottenham Hotspur,Centre-Forward,27,38.00,"May 27, 2024",€65.00m
Rico Lewis,Manchester City,Right-Back,19,38.00,"May 27, 2024",€38.00m
Boubacar Kamara,Aston Villa,Defensive Midfield,24,38.00,"May 27, 2024",€38.00m
Marc Guéhi,Crystal Palace,Centre-Back,24,38.00,"May 27, 2024",€38.00m
John Stones,Manchester City,Centre-Back,30,38.00,"May 27, 2024",€60.00m
Mykhaylo Mudryk,Chelsea FC,Left Winger,23,35.00,"May 27, 2024",€60.00m
Ryan Gravenberch,Liverpool FC,Central Midfield,22,35.00,"May 27, 2024",€35.00m
André Onana,Manchester United,Goalkeeper,28,35.00,"May 27, 2024",€45.00m
Tino Livramento,Newcastle United,Right-Back,21,35.00,"May 27, 2024",€35.00m
Yves Bissouma,Tottenham Hotspur,Defensive Midfield,27,35.00,"May 27, 2024",€35.00m
Jacob Ramsey,Aston Villa,Attacking Midfield,23,35.00,"May 27, 2024",€42.00m
Rodrigo Bentancur,Tottenham Hotspur,Central Midfield,27,35.00,"May 27, 2024",€50.00m
Ezri Konsa,Aston Villa,Centre-Back,26,35.00,"May 27, 2024",€35.00m
Roméo Lavia,Chelsea FC,Defensive Midfield,20,35.00,"May 27, 2024",€50.00m
Ederson,Manchester City,Goalkeeper,30,35.00,"May 27, 2024",€70.00m
Mason Mount,Manchester United,Attacking Midfield,25,35.00,"May 27, 2024",€75.00m
Leandro Trossard,Arsenal FC,Left Winger,29,35.00,"May 27, 2024",€38.00m
